ADDRESS,C01,Expenses,Income
2160019158,6,148909896,112026328
2160019161,2,77498776,29268776
2160019164,6,163686284,116748000
2160020004,3,127138164,54303164
2160020007,5,101379940,72631940
2160020010,2,61748776,194548776
2160020014,4,126256552,100597552
2160020016,5,141008000,99740000
2160021006,3,94818164,66298164
2160021008,5,120903940,70741940
2160021011,7,155821776,89635376
2160021013,8,226559776,350908776
2160021017,4,189843164,86723164
2160022057,6,362978000,103690000
2160022059,3,177960000,38140000
2160022063,5,121784000,63900000
2160022064,3,247635976,9840000
2160022067,3,53269940,32021940
2160023162,4,92856120,49497552
2160023168,2,56028672,30459388
2160023169,2,93622284,123370000
2160024009,2,52490776,43668776
2160024015,3,66800776,28608776
2160024017,5,92951940,37871940
2160025063,4,40062552,41397552
2160025066,5,57524000,75000000
2160025069,5,44754940,50146940
2160026108,4,221155552,23837552
2160026118,3,168889164,24503164
2160026120,5,109210000,31600000
2160027204,6,347905000,145450000
2160027207,6,195369180,111116328
2160027211,4,203034852,110665000
2160027218,5,310893076,77796940
2160028151,3,190496568,117660000
2160028154,1,42124000,18060000
2160028158,7,136771852,65920716
2160028162,1,36814388,17574388
2160028163,3,102065732,31723164
2160029052,5,49669340,51070940
2160029058,5,51797540,63722940
2160029065,5,62438940,74950940
2160030006,4,57167552,46653552
2160030009,8,270925104,120675104
2160030011,4,87540552,52837552
2160030014,5,246069328,164071328
2160030018,1,33167388,11409388
2160031304,6,349292852,163180000
2160031307,7,192411284,87120716
2160031310,8,186419672,90225104
2160031315,4,89267060,35208776
2160031317,6,900010896,265250328
2160032059,4,85727164,35983164
2160032062,1,18360388,12774388
2160032065,2,37318776,18348776
2160032070,5,94865000,88940000
2160033057,3,260156000,113325000
2160033059,4,260505600,199550000
2160033065,6,161098328,81694328
2160033067,6,156699000,37110000
2160034108,5,105444940,37841940
2160034109,6,207722328,40386328
2160034112,2,87309500,33950000
2160034120,3,63092868,30493164
2160035103,2,62648776,28008776
2160035107,4,87607940,61371940
2160035109,2,103453060,19548776
2160035113,4,59061552,28597552
2160035115,2,163746776,34858776
2160036054,5,163963940,91151940
2160036058,3,83829164,33873164
2160037051,3,36531164,36760164
2160037058,3,29936564,21960164
2160037059,5,38193940,37930940
2160037062,3,61882400,119997000
2160038098,5,110875940,33171940
2160038100,5,137980940,88395940
2160038107,3,52512164,53263164
2160039061,5,81187360,35196940
2160039065,5,166383584,118188164
2160039066,4,57609552,26477552
2160040057,5,122536508,36571940
2160040062,2,75185060,23148776
2160040064,4,135034508,39871940
2160040066,6,152591180,59746328
2160040071,2,100972776,45728776
2160041163,5,75498940,71611940
2160042212,7,303149716,37253716
2160042215,5,78427940,27046940
2160042218,8,133882104,54965104
2160042221,3,38885164,49828164
2160042225,7,327839716,132465716
2160043200,5,187833360,105155940
2160043210,10,261167880,97743880
2160044368,5,205784940,147271940
2160044376,7,151255000,119240000
2160044377,5,146124000,87660000
2160045057,5,105868940,38096940
2160045061,4,46797552,34537552
2160045063,3,90969164,23298164
2160045066,5,417979000,135975000
2160045069,10,243019492,86978492
2160046055,4,64921152,29037552
2160046059,5,110670940,101321940
2160046063,5,77482540,63521940
2160046064,3,132193600,62820000
2160046067,2,93780388,47894388
2160047208,5,74078508,31471940
2160047212,5,78150508,32546940
2160047214,5,92445180,47976328
2160048250,5,112959940,74671940
2160048256,4,88524000,29040000
2160048258,5,148917164,87243164
2160048261,7,211931997,117927997
2160049055,2,76658776,185642776
2160049058,1,19368388,10261388
2160049061,3,35980164,49432164
2160049063,3,42453164,33640164
2160049067,3,71405000,133545000
2160050099,2,138496552,32447552
2160050102,6,176186388,105144388
2160050106,7,159562716,57204716
2160050111,6,181867328,52626328
2160051006,4,90922164,37763164
2160051008,5,121300076,87896940
2160051012,4,236361136,267100000
2160051013,4,165260136,87010000
2160052156,4,155560508,66251940
2160052157,3,75499948,29033164
2160052163,2,57280000,17520000
2160052168,6,139918896,50746328
2160053200,3,31475164,37668164
2160053203,5,56089940,49958940
2160053207,3,40214164,65860164
2160053213,5,41942940,62446940
2160054270,4,93602000,73301600
2160054273,4,247964000,216400000
2160054277,3,130077164,42628164
2160054279,5,197053940,109171940
2160054283,4,191552000,71260000
2160055240,6,150706032,49046328
2160055244,5,260164568,126840000
2160055246,5,155274508,83611940
2160055250,4,139540120,57497552
2160055251,5,143870508,77071940
2160056217,2,71518388,32534388
2160056219,3,53282146,21523146
2160056223,2,79874776,35148776
2160056227,5,108367940,51971940
2160057164,4,93845000,115775000
2160057168,5,218445000,172303000
2160057169,6,337911336,146705000
2160057174,3,101904300,84762900
2160057177,3,268006000,225075000
2160058051,4,150545000,98300000
2160058058,8,360036940,289141940
2160058060,4,110796500,137000000
2160058064,4,270200000,139940000
2160059142,7,148463852,47035716
2160059146,2,132212284,92340000
2160059148,4,116600536,33840000
2160059152,4,140670284,118020000
2160060005,4,190538000,141590000
2160060009,2,118845984,191920000
2160060010,4,122783000,88428000
2160060013,3,60959164,38173164
2160060016,1,31118388,18174388
2160061190,5,38455940,53118940
2160061191,4,42580552,42217552
2160061194,3,27677564,26360164
2160061198,4,41635552,43233552
2160061202,3,30193484,25660164
2160062006,5,106446940,40201940
2160062008,2,50057976,36048776
2160062012,4,110488352,39877552
2160062015,4,157381940,196593940
2160063164,4,91796688,30477552
2160063167,5,142276552,56707552
2160063171,5,117427360,57396940
2160063173,4,135792972,20437552
2160063175,5,137263076,49641940
2160064006,7,141761284,107380716
2160064007,4,96885836,45147552
2160064016,2,69291060,32348776
2160065057,3,40964164,72940164
2160065059,5,43141940,56470940
2160065062,4,40669552,67609552
2160065065,5,68885200,98343000
2160066264,3,53104164,52228164
2160066267,4,85703552,23337552
2160066270,4,51665000,65125000
2160067056,2,42723060,17148776
2160067058,1,31784672,18319388
2160067060,3,54530016,19123164
2160068120,4,67341552,33547552
2160068126,5,166364940,92011940
2160068130,4,62690776,28068776
2160069351,4,258950940,67586940
2160069353,7,192935440,20096940
2160069357,5,94244164,74173164
2160069361,9,150851992,44462492
2160070101,5,132045940,90521940
2160070105,5,119067940,34471940
2160070109,5,344383776,111778776
2160070112,3,119049164,27193164
2160071208,3,49039448,41923164
2160071212,5,132768508,89431940
2160071216,4,75401836,54697552
2160071217,5,90182508,53771940
2160071222,2,43304284,40720000
2160072163,3,117665000,81068000
2160072167,1,19170388,13774388
2160072173,3,73608776,22608776
2160072177,4,100283552,87837552
2160073059,5,82732860,35083940
2160073060,5,91422940,44290940
2160073065,2,59226776,85098776
2160073066,4,142924000,104660000
2160074262,3,80765164,38585164
2160074265,5,70415940,62251940
2160074270,4,136179352,65029552
2160074273,5,312925600,52628000
2160075167,4,130112404,35917552
2160076009,5,101929568,59700000
2160076011,3,63033448,40723164
2160076014,1,84160284,73500000
2160077109,4,35631552,42709552
2160077114,3,31838164,34472164
2160077116,3,39812164,43360164
2160078108,5,178072940,75936940
2160078112,5,176693000,80835000
2160078116,3,215655000,66495000
2160080142,10,245684492,187644492
2160080147,5,155433812,70960000
2160080150,3,253542000,159180000
2160081172,3,172059388,93622388
2160081175,6,428471584,87925000
2160081180,3,139628164,37698164
2160081181,3,41443164,45898164
2160081184,1,47201000,10385000
2160082208,2,55653776,17528776
2160082211,3,101841552,44757552
2160082215,5,110965940,91921940
2160082217,7,148002716,43150716
2160082222,3,166085000,129690000
2160083162,4,134150120,74077552
2160083168,4,80654568,48228000
2160084108,4,106550552,67897552
2160084113,5,110274940,74671940
2160084115,4,90875552,66697552
2160084119,5,138245960,112500000
2160085067,3,34404164,14560164
2160086197,3,276831388,47044388
2160086199,3,129682164,33343164
2160086202,1,47838388,9754388
2160086210,4,160599388,94580388
2160087098,5,79917644,55866940
2160087103,3,70733164,20808164
2160087106,6,215152328,107521328
2160087109,10,150667880,39193880
2160088264,3,120793260,46780000
2160088271,8,202546240,215455104
2160088275,4,108244552,45597552
2160088276,2,59297060,21998776
2160089107,3,31306164,42460164
2160090210,6,154516000,95170000
2160090213,5,562800000,123275000
2160090218,4,103066000,87816000
2160090220,7,187806940,203176940
2160091154,4,293129284,127170000
2160091157,2,88849060,47868776
2160091165,3,230450284,93088000
2160091166,4,129756836,57577552
2160092172,4,79941552,86307552
2160092180,5,107690940,49071940
2160092183,5,70797940,43811940
2160092186,4,290397552,64147552
2160093218,4,71149552,37197552
2160093227,6,292744328,143506328
2160093230,9,192231492,129944492
2160094095,5,73501940,37491940
2160094103,6,162024552,86997552
2160094108,5,207850000,142560000
2160095051,6,298563180,97256328
2160095054,3,64591448,49523164
2160095058,5,91965120,64182552
2160095061,6,163132852,56820000
2160095064,2,97016284,67248000
2160096162,3,75697164,54423164
2160096163,2,109986000,73020000
2160096166,5,110542940,51771940
2160096169,4,88542552,66697552
2160096172,8,156820104,111435104
2160097006,4,76900000,83472000
2160097007,5,30136940,22258940
2160097011,5,42610940,49970940
2160097014,3,33028164,48628164
2160098005,7,276913716,79460716
2160098008,2,287514164,49063164
2160098012,6,297595000,98590000
2160098015,5,143816940,28451940
2160098016,10,151319880,58973880
2160099059,3,96938300,68363164
2160099065,5,49126360,78876940
2160099068,5,59489940,84301940
2160099070,5,93091508,88476940
2160100004,4,124753120,40677552
2160100007,6,197615464,134306328
2160100010,5,287692792,34731940
2160101104,4,52634800,67020000
2160101107,3,37527000,37017000
2160101110,2,36640776,52398776
2160102169,3,128673164,22978164
2160102172,5,152425940,78536940
2160102177,4,62869552,52837552
2160102180,5,139425328,41286328
2160102183,7,195614716,60442716
2160103170,4,169439836,62277552
